ABLA|37.14114,-2.780104
BLAZQUEZ (LOS)|38.4065,-5.438988
BUJALANCE|37.89657,-4.383588
CABRA|37.47437,-4.425931
CAÑETE DE LAS TORRES|37.86741,-4.318819
CARCABUEY|37.44359,-4.273436
CARDEÑA|38.27047,-4.32373
CARLOTA (LA)|37.67361,-4.932553
CARPIO (EL)|37.94054,-4.498775
CASTRO DEL RIO|37.68864,-4.481579
CONQUISTA|38.40844,-4.500968
CORDOBA|37.88473,-4.779152
DOÑA MENCIA|37.55457,-4.357603
DOS TORRES|38.44524,-4.894932
ENCINAS REALES|37.27488,-4.489717
ESPEJO|37.68211,-4.552363
ESPIEL|38.18865,-5.018202
FERNAN-NUÑEZ|37.67226,-4.723994
FUENTE-TOJAR|37.51163,-4.148019
FUENTE LA LANCHA|38.42257,-5.048906
FUENTE OBEJUNA|38.26675,-5.419834
FUENTE PALMERA|37.70319,-5.103904
GRANJUELA (LA)|38.3711,-5.351436
GUADALCAZAR|37.75755,-4.94463
GUIJO (EL)|38.49629,-4.782716
HINOJOSA DEL DUQUE|38.50099,-5.148333
HORNACHUELOS|37.83084,-5.242984
IZNAJAR|37.25726,-4.308423
LUCENA|37.40873,-4.485598
LUQUE|37.55932,-4.276523
MONTALBAN DE CORDOBA|37.58292,-4.749699
MONTEMAYOR|37.64862,-4.698889
MONTILLA|37.58963,-4.638313
MONTORO|38.02617,-4.381874
MONTURQUE|37.47332,-4.581713
MORILES|37.43526,-4.608767
NUEVA CARTEYA|37.58566,-4.467291
OBEJO|38.13433,-4.800506
PALENCIANA|37.2492,-4.583651
PALMA DEL RIO|37.70163,-5.283767
PEDRO ABAD|37.96708,-4.457226
PEDROCHE|38.42873,-4.763438
PEÑARROYA-PUEBLONUEVO|38.30304,-5.272851
POSADAS|37.80041,-5.107038
POZOBLANCO|38.37742,-4.848376
PRIEGO DE CORDOBA|37.4389,-4.194839
PUENTE GENIL|37.39051,-4.770465
RAMBLA (LA)|37.60816,-4.741319
RUTE|37.32587,-4.371301
SAN SEBASTIAN DE LOS BALLESTEROS|37.65493,-4.824157
SANTA EUFEMIA|38.59544,-4.902765
SANTAELLA|37.56627,-4.845094
TORRECAMPO|38.4751,-4.679456
VALENZUELA|37.77508,-4.219841
VALSEQUILLO|38.40498,-5.35168
VICTORIA (LA)|37.88327,-4.784959
VILLA DEL RIO|37.98227,-4.290878
VILLAFRANCA DE CORDOBA|37.96193,-4.545728
VILLAHARTA|38.13951,-4.903052
VILLANUEVA DE CORDOBA|38.32279,-4.628341
VILLANUEVA DEL DUQUE|38.39297,-5.000132
VILLANUEVA DEL REY|38.19965,-5.151443
VILLARALTO|38.45571,-4.984371
VILLAVICIOSA DE CORDOBA|38.07598,-5.014214
VISO (EL)|38.4827,-4.955392
ZUHEROS|37.54314,-4.316415
AGRON|37.03058,-3.829724
ALAMEDILLA|37.58174,-3.244309
ALBOLOTE|37.23085,-3.657415
ALBONDON|36.82729,-3.210813
ALBUÑAN|37.22719,-3.133893
ALBUÑOL|36.79125,-3.203485
ALBUÑUELAS|36.9282,-3.631472
ALDEIRE|37.16264,-3.072488
ALFACAR|37.23657,-3.570654
ALGARINEJO|37.32492,-4.158846
ALHAMA DE GRANADA|37.00252,-3.988389
ALHENDIN|37.1076,-3.645584
ALICUN DE ORTEGA|37.60968,-3.137986
ALMEGIJAR|36.90245,-3.299801
ALMUÑECAR|36.73454,-3.690736
ALPUJARRA DE LA SIERRA|36.9815,-3.157129
ALQUIFE|37.17983,-3.116288
ARENAS DEL REY|36.95771,-3.894323
ARMILLA|37.1401,-3.617981
ATARFE|37.2229,-3.687416
BAZA|37.49065,-2.774473
BEAS DE GRANADA|37.21916,-3.481737
BEAS DE GUADIX|37.2794,-3.205976
BENALUA|37.3503,-3.16904
BENALUA DE LAS VILLAS|37.42758,-3.683473
BENAMAUREL|37.60913,-2.699214
BERCHULES|36.97672,-3.190379
BUBION|36.94883,-3.356741
BUSQUISTAR|36.93771,-3.294846
CACIN|37.05995,-3.91689
CADIAR|36.94673,-3.180546
CAJAR|37.13422,-3.570618
CALAHORRA (LA)|37.18137,-3.064513
CALICASAS|37.27329,-3.6182
CAMPOTEJAR|37.48131,-3.616497
CAÑAR|36.92661,-3.428235
CANILES|37.43626,-2.722401
CAPILEIRA|36.96122,-3.358654
CARATAUNAS|36.92287,-3.408202
CASTARAS|36.93169,-3.253733
CASTILLEJAR|37.7147,-2.642967
CASTRIL|37.79573,-2.779088
CENES DE LA VEGA|37.15931,-3.537524
CHAUCHINA|37.20142,-3.77254
CHIMENEAS|37.13137,-3.823198
CHURRIANA DE LA VEGA|37.14777,-3.64595
CIJUELA|37.19989,-3.810801
COGOLLOS DE GUADIX|37.22443,-3.161336
COGOLLOS DE LA VEGA|37.27486,-3.572908
COLOMERA|37.37206,-3.71382
CORTES DE BAZA|37.65493,-2.769917
CORTES Y GRAENA|37.30363,-3.218777
CUEVAS DEL CAMPO|37.60847,-2.931033
CULLAR|37.58368,-2.576282
CULLAR VEGA|37.15327,-3.670436
DARRO|37.35002,-3.292531
DEHESAS DE GUADIX|37.58868,-3.102278
DEIFONTES|37.32524,-3.594484
DIEZMA|37.32085,-3.331664
DILAR|37.07499,-3.601624
DOLAR|37.18004,-2.989589
DUDAR|37.18567,-3.484442
DURCAL|36.98793,-3.56616
ESCUZAR|37.06251,-3.761499
FERREIRA|37.17229,-3.036083
FONELAS|37.41344,-3.173344
FREILA|37.52869,-2.906795
FUENTE VAQUEROS|37.21957,-3.783053
GABIAS (LAS)|37.135,-3.698333
GALERA|37.74289,-2.551193
GOBERNADOR|37.47737,-3.320455
GOJAR|37.10443,-3.606203
GOR|37.36952,-2.969444
GORAFE|37.47902,-3.044275
GRANADA|37.17649,-3.597929
GUADAHORTUNA|37.55655,-3.400713
GUADIX|37.3004,-3.134583
GUAJARES (LOS)|36.84568,-3.61165
GUALCHOS|36.74357,-3.389869
GÜEJAR SIERRA|37.15992,-3.438619
GÜEVEJAR|37.25698,-3.597678
HUELAGO|37.4198,-3.260146
HUENEJA|37.17693,-2.948596
HUESCAR|37.80949,-2.539663
HUETOR DE SANTILLAN|37.21823,-3.517399
HUETOR TAJAR|37.19463,-4.047139
HUETOR VEGA|37.15238,-3.575904
ILLORA|37.28843,-3.879782
ITRABO|36.79948,-3.638711
IZNALLOZ|37.3927,-3.527549
JAYENA|36.94883,-3.822807
JEREZ DEL MARQUESADO|37.18385,-3.159872
JETE|36.79732,-3.668151
JUN|37.22064,-3.59443
JUVILES|36.94825,-3.225788
LACHAR|37.19508,-3.834064
LANJARON|36.91806,-3.480488
LANTEIRA|37.1689,-3.138551
LECRIN|36.9477,-3.550382
LENTEGI|36.8343,-3.674449
LOBRAS|36.92786,-3.212306
LOJA|37.16884,-4.151471
LUGROS|37.23069,-3.240909
LUJAR|36.78755,-3.401651
MALAHA (LA)|37.10146,-3.722502
MARACENA|37.20568,-3.636805
MARCHAL|37.2962,-3.202323
MOCLIN|37.34158,-3.786422
MOLVIZAR|36.78689,-3.607518
MONACHIL|37.13209,-3.539469
MONTEFRIO|37.32097,-4.011364
MONTEJICAR|37.57196,-3.5047
MONTILLANA|37.50127,-3.672423
MORALEDA DE ZAFAYONA|37.16977,-3.965147
MORELABOR|37.43111,-3.310278
MOTRIL|36.74467,-3.516718
MURTAS|36.88737,-3.108971
NEVADA|37,-3.016667
NIGÜELAS|36.97741,-3.539319
NIVAR|37.25794,-3.577918
OGIJARES|37.11991,-3.607937
ORCE|37.72141,-2.479451
ORGIVA|36.90224,-3.42399
OTIVAR|36.81491,-3.681497
OTURA|37.09431,-3.635073
PADUL|37.02432,-3.626719
PAMPANEIRA|36.94004,-3.361339
PEDRO MARTINEZ|37.50168,-3.230659
PELIGROS|37.23122,-3.629415
PEZA (LA)|37.2756,-3.284761
PIÑAR|37.44337,-3.439418
PINAR (EL)|37.44337,-3.439418
PINOS GENIL|37.16339,-3.502635
PINOS PUENTE|37.25146,-3.750995
POLICAR|37.25764,-3.232102
POLOPOS|36.79553,-3.297135
PORTUGOS|36.94241,-3.310386
PUEBLA DE DON FADRIQUE|37.9579,-2.43508
PULIANAS|37.22264,-3.608163
PURULLENA|37.31759,-3.190274
QUENTAR|37.19201,-3.468192
RUBITE|36.80884,-3.348044
SALAR|37.14882,-4.067732
SALOBREÑA|36.74626,-3.587108
SANTA CRUZ DEL COMERCIO|37.06024,-3.976717
SANTA FE|37.18936,-3.719076
SOPORTUJAR|36.92839,-3.405133
SORVILAN|36.79442,-3.267524
TAHA (LA)|36.93333,-3.316667
TORRE-CARDELA|37.50457,-3.356015
TORVIZCON|36.87788,-3.298552
TREVELEZ|37.00245,-3.266871
TURON|36.86357,-3.057771
UGIJAR|36.96075,-3.054754
VALLE (EL)|37.28611,-3.008889
VALLE DEL ZALABI|37.28611,-3.008889
VALOR|36.99589,-3.083123
VEGAS DEL GENIL|37.16667,-3.7
VELEZ DE BENAUDALLA|36.83195,-3.516209
VENTAS DE HUELMA|37.06853,-3.822133
VILLAMENA|36.99035,-3.588935
VILLANUEVA DE LAS TORRES|37.55663,-3.090193
VILLANUEVA MESIA|37.2142,-4.011248
VIZNAR|37.23108,-3.553835
ZAFARRAYA|36.97551,-4.144421
ZAGRA|37.25303,-4.168132
ZUBIA (LA)|37.12061,-3.584668
ZUJAR|37.54015,-2.842817
ALAJAR|37.87439,-6.666078
ALJARAQUE|37.27111,-7.021585
ALMENDRO (EL)|37.50693,-7.270019
ALMONASTER LA REAL|37.87181,-6.787901
ALMONTE|37.26254,-6.51724
ALOSNO|37.54936,-7.115428
ARACENA|37.89417,-6.561207
AROCHE|37.94426,-6.954265
ARROYOMOLINOS DE LEON|38.02604,-6.421104
AYAMONTE|37.21466,-7.409819
BEAS|37.42592,-6.792988
BERROCAL|38,-6.883333
BOLLULLOS PAR DEL CONDADO|37.33615,-6.535758
BONARES|37.3219,-6.680697
CABEZAS RUBIAS|37.7265,-7.087451
CALA|37.97217,-6.31649
CALAÑAS|37.65482,-6.878683
CAMPILLO (EL)|37.69332,-6.630814
CAMPOFRIO|37.76776,-6.573099
CAÑAVERAL DE LEON|38.01454,-6.527808
CARTAYA|37.28314,-7.154979
CASTAÑO DEL ROBLEDO|37.8951,-6.703943
CERRO DE ANDEVALO (EL)|37.73519,-6.938734
CHUCENA|37.36157,-6.393946
CORTECONCEPCION|37.89585,-6.505878
CORTEGANA|37.90937,-6.820616
CORTELAZOR|37.93554,-6.624768
CUMBRES DE ENMEDIO|38.07224,-6.692877
CUMBRES DE SAN BARTOLOME|38.07691,-6.743336
CUMBRES MAYORES|38.0637,-6.647074
ENCINASOLA|38.13522,-6.872141
ESCACENA DEL CAMPO|37.41033,-6.389561
FUENTEHERIDOS|37.90327,-6.660661
GALAROZA|37.92757,-6.709221
GIBRALEON|37.37495,-6.970141
GRANADA DE RIO-TINTO (LA)|37.23156,-6.91823
GRANADO (EL)|37.26469,-6.926992
HIGUERA DE LA SIERRA|37.83819,-6.447579
HINOJALES|38.00843,-6.589147
HINOJOS|37.29273,-6.376253
HUELVA|37.2571,-6.949555
ISLA CRISTINA|37.19943,-7.325246
JABUGO|37.91671,-6.729078
LEPE|37.25432,-7.203348
LINARES DE LA SIERRA|37.88009,-6.621002
LUCENA DEL PUERTO|37.30394,-6.730086
MANZANILLA|37.38773,-6.429422
MARINES (LOS)|37.90303,-6.62332
MINAS DE RIOTINTO|37.69391,-6.591848
MOGUER|37.27469,-6.836591
NAVA (LA)|37.96342,-6.745746
NERVA|37.69511,-6.550632
NIEBLA|37.3601,-6.6792
PALMA DEL CONDADO (LA)|37.38784,-6.5534
PALOS DE LA FRONTERA|37.2282,-6.893426
PATERNA DEL CAMPO|37.42096,-6.401431
PAYMOGO|37.74063,-7.345994
PUEBLA DE GUZMAN|37.61144,-7.245831
PUERTO MORAL|37.89208,-6.47877
PUNTA UMBRIA|37.18248,-6.967148
ROCIANA DEL CONDADO|37.30781,-6.598672
ROSAL DE LA FRONTERA|37.9678,-7.220527
SAN BARTOLOME DE LA TORRE|37.44596,-7.106683
SAN JUAN DEL PUERTO|37.31416,-6.840784
SAN SILVESTRE DE GUZMAN|37.3884,-7.350305
SANLUCAR DE GUADIANA|37.47318,-7.467861
SANTA ANA LA REAL|37.86396,-6.724445
SANTA BARBARA DE CASA|37.79655,-7.188633
SANTA OLALLA DEL CALA|37.90651,-6.229617
TRIGUEROS|37.38319,-6.833752
VALDELARCO|37.95044,-6.683222
VALVERDE DEL CAMINO|37.57339,-6.753376
VILLABLANCA|37.30373,-7.341905
VILLALBA DEL ALCOR|37.39729,-6.476595
VILLANUEVA DE LAS CRUCES|37.62762,-7.024521
VILLANUEVA DE LOS CASTILLEJOS|37.50046,-7.272443
VILLARRASA|37.38945,-6.606914
ZALAMEA LA REAL|37.67891,-6.660578
ZUFRE|37.83384,-6.338613
ALBANCHEZ DE MAGINA|37.79165,-3.468285
ALCALA LA REAL|37.46358,-3.925078
ALCAUDETE|37.59106,-4.086735
ALDEAQUEMADA|38.41182,-3.371774
ANDUJAR|38.03675,-4.054391
ARJONA|37.93648,-4.054891
ARJONILLA|37.97355,-4.107027
ARQUILLOS|38.18201,-3.430886
ARROYO DEL OJANCO|38.32092,-2.894979
BAEZA|37.99343,-3.469237
BAILEN|38.09588,-3.774859
BAÑOS DE LA ENCINA|38.17133,-3.774258
BEAS DE SEGURA|38.25238,-2.889883
BEDMAR Y GARCIEZ|37.82271,-3.411761
BEGIJAR|37.98452,-3.53483
BELMEZ DE LA MORALEDA|37.7239,-3.38222
BENATAE|38.35257,-2.650866
CABRA DEL SANTO CRISTO|37.70535,-3.286108
CAMBIL|37.67691,-3.565627
CAMPILLO DE ARENAS|37.55593,-3.635789
CANENA|38.04868,-3.482172
CARBONEROS|38.22952,-3.631522
CARCHELES|37.6533,-3.635799
CAROLINA (LA)|38.27468,-3.615412
CASTELLAR|38.25621,-3.131925
CASTILLO DE LOCUBIN|37.52826,-3.943678
CAZALILLA|37.9846,-3.882231
CAZORLA|37.91055,-3.002167
CHICLANA DE SEGURA|38.31147,-3.042188
CHILLUEVAR|38.00106,-3.031099
ESCAÑUELA|37.87872,-4.033281
ESPELUY|38.03308,-3.861802
FRAILES|37.48515,-3.838214
FUENSANTA DE MARTOS|37.64784,-3.906
FUERTE DEL REY|37.87396,-3.884589
GENAVE|38.43014,-2.732766
GUARDIA DE JAEN (LA)|37.74164,-3.692717
GUARROMAN|38.18151,-3.686501
HIGUERA DE CALATRAVA|37.7969,-4.154945
HINOJARES|37.71555,-2.999204
HORNOS|38.21679,-2.720247
HUELMA|37.64524,-3.455428
HUESA|37.76411,-3.078167
IBROS|38.02261,-3.502375
IRUELA (LA)|37.92038,-2.993985
IZNATORAF|38.15744,-3.032914
JABALQUINTO|38.01932,-3.724704
JAEN|37.76574,-3.789518
JAMILENA|37.74709,-3.912299
JIMENA|37.84158,-3.476529
JODAR|37.84398,-3.352545
LAHIGUERA|37.97049,-3.989164
LARVA|37.75892,-3.20015
LINARES|38.09362,-3.635844
LOPERA|37.94367,-4.214694
LUPION|37.99656,-3.546936
MANCHA REAL|37.78617,-3.612393
MARMOLEJO|38.04433,-4.170608
MARTOS|37.72278,-3.966259
MENGIBAR|37.96833,-3.808806
MONTIZON|38.34243,-3.103404
NAVAS DE SAN JUAN|38.18464,-3.315369
NOALEJO|37.52939,-3.653675
ORCERA|38.31738,-2.664912
PEAL DE BECERRO|37.91332,-3.121655
PEGALAJAR|37.73797,-3.651098
PORCUNA|37.87086,-4.184721
POZO ALCON|37.70512,-2.93436
PUENTE DE GENAVE|38.35323,-2.804408
PUERTA DE SEGURA (LA)|38.34861,-2.737147
QUESADA|37.8451,-3.067591
RUS|38.04807,-3.462054
SABIOTE|38.06915,-3.306595
SANTA ELENA|38.33911,-3.539236
SANTIAGO-PONTONES|38.1,-2.55
SANTIAGO DE CALATRAVA|37.75299,-4.169107
SANTISTEBAN DEL PUERTO|38.24746,-3.206428
SANTO TOME|38.02818,-3.101844
SEGURA DE LA SIERRA|38.29776,-2.651513
SILES|38.38734,-2.58131
SORIHUELA DEL GUADALIMAR|38.23954,-3.054152
TORRE DEL CAMPO|37.77657,-3.895521
TORREBLASCOPEDRO|37.99618,-3.638916
TORREDONJIMENO|37.76543,-3.959263
TORREPEROGIL|38.0345,-3.287597
TORRES|37.78608,-3.510031
TORRES DE ALBANCHEZ|38.41451,-2.677051
UBEDA|38.00809,-3.368519
VALDEPEÑAS DE JAEN|37.59034,-3.819645
VILCHES|38.20467,-3.507662
VILLACARRILLO|38.11541,-3.087194
VILLANUEVA DE LA REINA|38.00499,-3.919512
VILLANUEVA DEL ARZOBISPO|38.16934,-3.010099
VILLARDOMPARDO|37.83969,-4.001286
VILLARES (LOS)|37.68932,-3.81857
VILLARRODRIGO|38.48793,-2.636272
VILLATORRES|37.9313,-3.692753
ALAMEDA|37.20783,-4.658073
ALCAUCIN|36.90263,-4.114147
ALFARNATE|36.99511,-4.260656
ALFARNATEJO|36.97935,-4.272528
ALGARROBO|36.77216,-4.039314
ALGATOCIN|36.57289,-5.276559
ALHAURIN DE LA TORRE|36.66836,-4.552967
ALHAURIN EL GRANDE|36.64186,-4.691447
ALMACHAR|36.80859,-4.217409
ALMARGEN|37.00392,-5.021193
ALMOGIA|36.82528,-4.540719
ALORA|36.82264,-4.706715
ALOZAINA|36.72768,-4.85646
ALPANDEIRE|36.63317,-5.202244
ANTEQUERA|37.01938,-4.562885
ARCHEZ|36.83739,-3.990186
ARCHIDONA|37.09481,-4.387545
ARDALES|36.87798,-4.846642
ARENAS|36.81469,-4.043716
ARRIATE|36.79936,-5.140064
ATAJATE|36.63999,-5.245177
BENADALID|36.60577,-5.268939
BENAHAVIS|36.52446,-5.046305
BENALAURIA|36.59402,-5.261163
BENALMADENA|36.59523,-4.573368
BENAMARGOSA|36.83208,-4.19239
BENAMOCARRA|36.7912,-4.159968
BENAOJAN|36.71874,-5.25315
BENARRABA|36.55169,-5.276832
BORGE (EL)|36.81446,-4.23489
BURGO (EL)|36.78993,-4.946407
CAMPILLOS|37.04541,-4.861525
CAÑETE LA REAL|36.95146,-5.024308
CANILLAS DE ACEITUNO|36.87345,-4.082042
CANILLAS DE ALBAIDA|36.84607,-3.987585
CARRATRACA|36.85158,-4.818239
CARTAJIMA|36.6454,-5.153931
CARTAMA|36.71131,-4.630741
CASABERMEJA|36.89404,-4.428977
CASARABONELA|36.78524,-4.842167
CASARES|36.44333,-5.273519
COIN|36.65871,-4.760344
COLMENAR|36.90502,-4.335212
COMARES|36.84872,-4.247061
COMPETA|36.833,-3.974872
CORTES DE LA FRONTERA|36.61691,-5.342681
CUEVAS BAJAS|37.23587,-4.489641
CUEVAS DE SAN MARCOS|37.26963,-4.414079
CUEVAS DEL BECERRO|36.87637,-5.045729
CUTAR|36.83069,-4.228007
ESTEPONA|36.42477,-5.144903
FARAJAN|36.6162,-5.189152
FRIGILIANA|36.79252,-3.898076
FUENGIROLA|36.53901,-4.624353
FUENTE DE PIEDRA|37.13463,-4.729656
GAUCIN|36.5183,-5.317524
GENALGUACIL|36.54427,-5.235879
GUARO|36.65645,-4.833355
HUMILLADERO|37.11469,-4.703457
IGUALEJA|36.63033,-5.122461
ISTAN|36.58216,-4.949401
IZNATE|36.77612,-4.18356
JIMERA DE LIBAR|36.65202,-5.273455
JUBRIQUE|36.56432,-5.215247
JUZCAR|36.62506,-5.170815
MACHARAVIAYA|36.76239,-4.213979
MALAGA|36.71965,-4.420019
MANILVA|36.37706,-5.249271
MARBELLA|36.50994,-4.886352
MIJAS|36.5957,-4.637619
MOCLINEJO|36.7712,-4.254001
MOLLINA|37.12564,-4.657106
MONDA|36.63018,-4.831124
MONTEJAQUE|36.73365,-5.251382
NERJA|36.74503,-3.876649
OJEN|36.56424,-4.856492
PARAUTA|36.65533,-5.129627
PERIANA|36.92694,-4.187304
PIZARRA|36.76717,-4.707456
PUJERRA|36.6127,-5.149421
RINCON DE LA VICTORIA|36.71566,-4.275504
RIOGORDO|36.91491,-4.293622
RONDA|36.74196,-5.166412
SALARES|36.85496,-4.024393
SAYALONGA|36.79799,-4.011899
SEDELLA|36.86289,-4.03307
SIERRA DE YEGUAS|37.12461,-4.868739
TEBA|36.98348,-4.920274
TOLOX|36.68674,-4.904676
TORREMOLINOS|36.62179,-4.500273
TORROX|36.75845,-3.952617
TOTALAN|36.76529,-4.297044
VALLE DE ABDALAJIS|36.93133,-4.682709
VELEZ-MALAGA|36.77864,-4.100675
VILLANUEVA DE ALGAIDAS|37.18628,-4.450837
VILLANUEVA DE TAPIA|37.18035,-4.335978
VILLANUEVA DEL ROSARIO|36.99622,-4.364309
VILLANUEVA DEL TRABUCO|37.02825,-4.338388
VIÑUELA|36.8628,-4.141331
YUNQUERA|36.73168,-4.920869
AGUADULCE|37.25283,-4.991125
ALANIS|38.03748,-5.715293
ALBAIDA DEL ALJARAFE|37.42702,-6.165926
ALCALA DE GUADAIRA|37.33833,-5.844032
ALCALA DEL RIO|37.51827,-5.978236
ALCOLEA DEL RIO|37.61416,-5.671293
ALGABA (LA)|37.46177,-6.013736
ALGAMITAS|37.01501,-5.149775
ALMADEN DE LA PLATA|37.87345,-6.079766
ALMENSILLA|37.30904,-6.113987
ARAHAL|37.2641,-5.542829
AZNALCAZAR|37.30518,-6.248415
AZNALCOLLAR|37.52354,-6.269565
BADOLATOSA|37.30871,-4.672858
BENACAZON|37.35343,-6.199005
BOLLULLOS DE LA MITACION|37.34011,-6.138757
